Contact	Overhead
19200	 92.16270825948246
38400	 94.91765369430344
57600	 95.44052748400574
76800	 95.64765443567116
1800	 98.83018867924528
21000	 93.06340640809444
40200	 95.04129741226515
59400	 95.62283292667266
78600	 95.74623003479968
3600	 82.78552278820375
22800	 92.97141949825341
42000	 94.9350272851296
61200	 95.30439096998263
80400	 95.698969429289
5400	 82.65960665658093
24600	 93.29672276350753
43800	 95.09973270965587
63000	 95.61744966442953
82200	 95.58387725692972
7200	 85.52114285714286
26400	 93.44863106532935
45600	 95.20152029759016
64800	 95.43300924828077
84000	 95.53131945016051
9000	 89.1786600496278
28200	 93.8414882772681
47400	 95.00156445556946
66600	 95.47913322632424
85800	 95.52420135527589
10800	 91.08131720430107
30000	 94.05558264261336
49200	 95.43347317950254
68400	 95.73315454240698
12600	 92.30742049469964
31800	 93.83651944627555
51000	 95.57455382843983
70200	 95.61920708652912
14400	 92.28197674418605
33600	 94.10769556921773
52800	 95.3851255997742
72000	 95.79780629139073
16200	 92.87703834288233
35400	 94.29861111111111
54600	 95.44439856867602
73800	 95.83674280039722
18000	 92.47285067873302
37200	 94.7151726814125
56400	 95.47798408488063
75600	 95.74935695913118
600	 93.625
19800	 92.56094134176325
39000	 94.88132764694976
58200	 95.42714415466459
77400	 95.74152890674948
2400	 70.44848484848485
21600	 92.98665331998666
40800	 95.14120936735407
60000	 95.47625698324022
79200	 95.7436350777935
4200	 80.76893939393939
23400	 93.11527734738146
42600	 94.98985115020298
61800	 95.54100382291281
81000	 95.65170185264972
6000	 84.68983957219251
25200	 93.11063094209162
44400	 95.0896265560166
63600	 95.73423532254168
82800	 95.55104789159162
7800	 86.06324110671937
27000	 93.63181577554262
46200	 95.07495225970719
65400	 95.24088190453853
84600	 95.56521384263793
9600	 89.03808812546677
28800	 93.90522047643184
48000	 95.05521854098616
67200	 95.57043616900125
11400	 91.41544352265475
30600	 94.05856379270277
49800	 95.45918517429034
69000	 95.74546058458813
13200	 92.59073143495254
32400	 93.99825746024831
51600	 95.44717655468192
70800	 95.72067753275807
15000	 92.44782405240991
34200	 94.20894582108357
53400	 95.41518419946772
72600	 95.8513306821658
16800	 93.29423868312757
36000	 94.28003992015968
55200	 95.45250338294993
74400	 96.0
18600	 92.30322102924842
37800	 94.6141387195122
57000	 95.46627373935821
76200	 95.63989076184198
1200	 86.8157894736842
20400	 92.80061983471074
39600	 94.95754716981132
58800	 95.53041237113402
78000	 95.71835926958713
3000	 62.553691275167786
22200	 93.13488222007099
41400	 95.09643968199101
60600	 95.34205584074121
79800	 95.6536709304363
4800	 81.31301482701812
24000	 92.87533632286996
43200	 94.99379194630872
62400	 95.48332515939185
81600	 95.5942041374594
6600	 85.13675213675214
25800	 93.40749021799888
45000	 95.18229854689564
64200	 95.69891826923077
83400	 95.48963450170677
8400	 89.21998166819432
27600	 93.48406322881576
46800	 95.11609955891619
66000	 95.39588153632577
85200	 95.52210594629675
10200	 90.9703808180536
29400	 93.79672375279226
48600	 95.04851545760637
67800	 95.64959963911132
12000	 92.0788662969809
31200	 94.23068207568548
50400	 95.31347826086956
69600	 95.6079266295447
13800	 92.9133367929424
33000	 93.85284640171858
52200	 95.54064056939502
71400	 95.81822971548999
15600	 92.8789664551224
34800	 94.32794361525704
54000	 95.49054505005562
73200	 95.81167323033424
17400	 93.19594594594595
36600	 94.54736635220125
55800	 95.52781874245878
75000	 95.8917191283293

